'-0.5821.4-0.5660.2-0.5235.1+0.26 3.5','0.9273.5+0.37 5.1+0.0640.2+0.0191.4',Iris-setosa
-0.073611,-0.171031,Iris-versicolor
-0.207848,-0.376446,Iris-versicolor
-0.55656,-0.152349,Iris-versicolor
0.476926,-1.529059,Iris-versicolor
-0.23466,-0.591331,Iris-versicolor
-1.834616,0.866516,Iris-virginica
-1.134485,-0.699361,Iris-virginica
-2.188778,0.547321,Iris-virginica
-1.421345,-0.051702,Iris-virginica
-1.851296,0.287004,Iris-virginica
-2.735884,0.77794,Iris-virginica
-0.338963,-1.551662,Iris-virginica
-2.284097,0.401927,Iris-virginica
-1.979504,-0.726312,Iris-virginica
-2.256212,1.910415,Iris-virginica
-1.35136,0.690226,Iris-virginica
-1.579392,-0.429575,Iris-virginica
-1.867127,0.409167,Iris-virginica
-1.232405,-1.164263,Iris-virginica
-1.446407,-0.44365,Iris-virginica
-1.577443,0.672946,Iris-virginica
-1.454659,0.250213,Iris-virginica
-2.427417,2.542395,Iris-virginica
-3.286442,-0.012624,Iris-virginica
-1.229627,-1.713764,Iris-virginica
-2.025352,0.900304,Iris-virginica
-0.956577,-0.568558,Iris-virginica
-2.877475,0.38765,Iris-virginica
-1.309639,-0.486907,Iris-virginica
-1.690496,1.008132,Iris-virginica
-1.942137,0.995458,Iris-virginica
-1.153567,-0.318799,Iris-virginica
-1.003748,0.065282,Iris-virginica
-1.767431,-0.19575,Iris-virginica
-1.847042,0.548922,Iris-virginica
-2.415333,0.23894,Iris-virginica
-2.305759,2.611573,Iris-virginica
-1.841791,-0.187368,Iris-virginica
-1.092814,-0.296083,Iris-virginica
-1.17728,-0.815831,Iris-virginica
-2.782404,0.833872,Iris-virginica
-1.568115,1.067583,Iris-virginica
-1.331652,0.419408,Iris-virginica
-0.907553,0.019593,Iris-virginica
-1.837312,0.666479,Iris-virginica
-2.000265,0.604597,Iris-virginica
-1.886835,0.679984,Iris-virginica
-1.134485,-0.699361,Iris-virginica
-2.028354,0.857876,Iris-virginica
-1.987936,1.041663,Iris-virginica
-1.85352,0.378069,Iris-virginica
-1.536821,-0.905034,Iris-virginica
-1.504182,0.263717,Iris-virginica
-1.364494,1.012424,Iris-virginica
-0.943621,-0.021748,Iris-virginica
